,date,load,bodyComfort,lastWeek
81,2021_06_19 13:30,33625.0,30.35207094554822,27.26942657067407
82,2021_06_19 13:40,33474.0,30.35207094554822,27.26942657067407
83,2021_06_19 13:50,33393.0,30.35207094554822,27.26942657067407
84,2021_06_19 14:00,33665.0,30.67455751969922,27.26942657067407
85,2021_06_19 14:10,33607.0,30.67455751969922,27.26942657067407
86,2021_06_19 14:20,33554.0,30.67455751969922,27.26942657067407
87,2021_06_19 14:30,33771.0,30.67455751969922,27.26942657067407
88,2021_06_19 14:40,33435.0,30.67455751969922,27.26942657067407
89,2021_06_19 14:50,33633.0,30.67455751969922,27.26942657067407
90,2021_06_19 15:00,33641.0,30.597699861545905,27.26942657067407
91,2021_06_19 15:10,33406.0,30.597699861545905,27.26942657067407
92,2021_06_19 15:20,33550.0,30.597699861545905,27.26942657067407
